SWO capture clock
Time	Approx	PC	ITM1	ITM2	ITM3	ITM4	
283413.50 us	 	---	0				
283537.67 us	 	---		23050001			
283539.71 us	 	---			23050001		
283541.71 us	 	---				0	
293443.73 us	 	---	0				
293445.73 us	 	---		591			
293447.73 us	 	---			23060001		
293449.73 us	 	---				23060592	
303474.10 us	 	---	0				
303476.10 us	 	---		591			
303478.10 us	 	---			23070001		
303548.58 us	 	---				23070592	
313506.38 us	 	---	0				
313508.38 us	 	---		591			
313510.38 us	 	---			23080001		
313512.42 us	 	---				23080592	
323509.90 us	 	---	0				
323511.90 us	 	---		591			
323513.90 us	 	---			23090001		
323515.90 us	 	---				23090592	
333370.33 us	 	---	0				
333523.42 us	 	---		591			
333525.42 us	 	---			23100001		
333527.42 us	 	---				23100592	
343402.73 us	 	---	0				
343404.73 us	 	---		591			
343406.77 us	 	---			23110001		
343408.81 us	 	---				23110592	
353433.02 us	 	---	0				
353435.06 us	 	---		591			
353437.06 us	 	---			23120001		
353439.06 us	 	---				23120592	
363463.38 us	 	---	0				
363465.38 us	 	---		591			
363467.38 us	 	---			23130001		
363531.48 us	 	---				23130592	
373495.81 us	 	---	0				
373497.81 us	 	---		591			
373499.81 us	 	---			23140001		
373501.81 us	 	---				23140592	
383492.79 us	 	---	0				
383494.79 us	 	---		591			
383496.79 us	 	---			23150001		
383498.79 us	 	---				23150592	
393359.65 us	 	---	0				
393506.29 us	 	---		591			
393508.29 us	 	---			23160001		
393510.33 us	 	---				23160592	
403390.02 us	 	---	0				
403392.02 us	 	---		591			
403394.02 us	 	---			23170001		
403396.02 us	 	---				23170592	
413422.38 us	 	---	0				
413424.38 us	 	---		591			
413426.38 us	 	---			23180001		
413428.38 us	 	---				23180592	
423452.62 us	 	---	0				
423454.62 us	 	---		591			
423456.62 us	 	---			23190001		
423514.38 us	 	---				23190592	
433478.52 us	 	---	0				
433480.56 us	 	---		591			
433482.56 us	 	---			23200001		
433484.56 us	 	---				23200592	
443480.67 us	 	---	0				
443482.67 us	 	---		591			
443484.67 us	 	---			23210001		
443486.67 us	 	---				23210592	
453348.98 us	 	---	0				
453489.19 us	 	---		591			
453491.23 us	 	---			23220001		
453493.23 us	 	---				23220592	
463379.25 us	 	---	0				
463381.25 us	 	---		591			
463383.25 us	 	---			23230001		
